game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
378,1,0,0,1.0,17,7,0,17,8227,1.284759,0.321838,1.606597,0.093813,0.681135,0.0,0.0,8,1.0,600,1
379,1,0,0,1.0,7,1,0,7,8234,1.149496,0.247832,1.397328,0.093813,0.769616,1.0,0.0,8,1.0,600,1
380,1,0,0,1.0,17,7,0,17,8251,1.312318,0.386224,1.698542,0.093813,0.708043,0.0,0.0,8,1.0,600,1
381,2,1,1,0.3,70,8,0,70,8321,1.384067,0.323369,1.707436,0.093813,0.872454,0.0,0.0,8,1.0,600,1
382,1,0,0,1.0,17,7,0,17,8338,1.286708,0.357151,1.643859,0.093813,0.800452,0.0,0.0,8,1.0,600,1
383,1,0,0,1.0,17,7,0,17,8355,1.191656,0.376299,1.567955,0.093813,0.710007,0.0,0.0,8,1.0,600,1
384,1,0,0,1.0,17,7,0,17,8372,1.366728,0.361241,1.727969,0.093813,0.791613,0.0,0.0,8,1.0,600,1
385,2,0,0,1.0,18,6,0,18,8390,1.374104,0.359353,1.733457,0.093813,0.749026,0.0,0.0,8,1.0,600,1
386,1,0,0,1.0,21,8,0,21,8411,1.179212,0.316249,1.495461,0.093813,0.748947,0.0,0.0,8,1.0,600,1
387,2,0,0,1.0,22,7,0,22,8433,1.238006,0.410218,1.648224,0.093813,0.747306,0.0,0.0,8,1.0,600,1
388,,1,0,0.3,70,7,0,70,8503,1.167831,0.342516,1.510347,0.093813,0.780038,0.0,0.0,8,1.0,600,1
389,2,0,0,1.0,14,6,0,14,8517,1.358246,0.27356,1.631805,0.093813,0.740878,0.0,0.0,8,1.0,600,1
390,1,0,0,1.0,19,7,0,19,8536,1.249702,0.416381,1.666083,0.093813,0.823566,0.0,0.0,8,1.0,600,1
391,1,0,0,1.0,19,7,0,19,8555,1.464055,0.380173,1.844228,0.093813,0.737633,0.0,0.0,8,1.0,600,1
392,1,0,0,1.0,21,8,0,21,8576,1.300541,0.41896,1.719501,0.093813,0.801256,0.0,0.0,8,1.0,600,1
393,2,0,0,1.0,16,6,0,16,8592,1.334107,0.408514,1.742621,0.093813,0.715463,0.0,0.0,8,1.0,600,1
394,2,0,0,1.0,20,7,0,20,8612,1.255655,0.493193,1.748847,0.093813,0.778881,0.0,0.0,8,1.0,600,1
395,1,0,0,1.0,19,7,0,19,8631,1.389097,0.317656,1.706754,0.093813,0.782796,0.0,0.0,8,1.0,600,1
396,2,0,0,1.0,26,8,0,26,8657,1.219097,0.354006,1.573104,0.093813,0.784063,0.0,0.0,8,1.0,600,1
397,2,0,0,1.0,18,8,0,18,8675,1.229927,0.378543,1.608471,0.093813,0.633741,0.0,0.0,8,1.0,600,1
398,2,0,0,1.0,22,7,0,22,8697,1.243155,0.362635,1.60579,0.093813,0.814084,0.0,0.0,8,1.0,600,1
399,2,0,0,1.0,20,8,0,20,8717,1.220969,0.414386,1.635356,0.093813,0.776962,0.0,0.0,8,1.0,600,1
400,1,0,0,1.0,35,7,0,35,8752,1.272363,0.356652,1.629015,0.093813,0.784069,0.0,0.0,8,1.0,600,1
401,1,0,0,1.0,23,8,0,23,8775,1.341947,0.320098,1.662045,0.093813,0.706467,0.0,0.0,8,1.0,600,1
402,1,0,0,1.0,17,8,0,17,8792,1.16474,0.373455,1.538195,0.093813,0.746047,0.0,0.0,8,1.0,600,1
403,2,0,0,1.0,28,8,0,28,8820,1.299307,0.400446,1.699753,0.093813,0.822323,0.0,0.0,8,1.0,600,1
404,2,0,0,1.0,24,7,0,24,8844,1.267761,0.416711,1.684472,0.093813,0.702908,0.0,0.0,8,1.0,600,1
405,1,0,0,1.0,19,7,0,19,8863,1.219142,0.391733,1.610875,0.093813,0.759424,0.0,0.0,8,1.0,600,1
406,2,0,0,1.0,22,6,0,22,8885,1.28595,0.330116,1.616066,0.093813,0.81287,0.0,0.0,8,1.0,600,1
407,2,0,0,1.0,22,8,0,22,8907,1.412408,0.35479,1.767199,0.093813,0.790484,0.0,0.0,8,1.0,600,1
408,1,0,0,1.0,23,8,0,23,8930,1.25446,0.311814,1.566274,0.093813,0.853742,0.0,0.0,8,1.0,600,1
409,1,0,0,1.0,21,8,0,21,8951,1.33241,0.425602,1.758013,0.093813,0.796804,0.0,0.0,8,1.0,600,1
410,1,0,0,1.0,19,7,0,19,8970,1.32764,0.366241,1.693881,0.093813,0.733415,0.0,0.0,8,1.0,600,1
411,2,0,0,1.0,26,8,0,26,8996,1.284321,0.452458,1.73678,0.093813,0.688712,0.0,0.0,8,1.0,600,1
412,2,0,0,1.0,16,6,0,16,9012,1.409682,0.480792,1.890473,0.093813,0.65265,0.0,0.0,8,1.0,600,1
413,1,0,0,1.0,9,4,0,9,9021,1.147256,0.322799,1.470055,0.093813,0.654239,0.0,0.0,8,1.0,600,1
414,1,0,0,1.0,23,7,0,23,9044,1.347191,0.361008,1.7082,0.093813,0.791464,0.0,0.0,8,1.0,600,1
