game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
123,2,0,0,1.0,fixed,0.5,20,7,0,20,2493,1.319286,0.294452,1.613738,0.118303,0.64783,0.0,0.0,8,1.0,600,1
124,2,0,0,1.0,fixed,0.5,22,8,0,22,2515,1.306008,0.345968,1.651976,0.118303,0.729397,0.0,0.0,8,1.0,600,1
125,2,0,0,1.0,fixed,0.5,22,8,0,22,2537,1.329092,0.450143,1.779234,0.118303,0.675596,0.0,0.0,8,1.0,600,1
126,1,0,0,1.0,fixed,0.5,27,8,0,27,2564,1.378432,0.310858,1.689291,0.118303,0.72182,0.0,0.0,8,1.0,600,1
127,1,0,0,1.0,fixed,0.5,23,7,0,23,2587,1.2571,0.381998,1.639098,0.118303,0.772011,0.0,0.0,8,1.0,600,1
128,1,1,1,0.3,fixed,0.5,70,7,0,70,2657,1.452417,0.444624,1.897041,0.118303,0.696995,0.0,0.0,8,1.0,600,1
129,1,0,0,1.0,fixed,0.5,19,7,0,19,2676,1.265035,0.263132,1.528167,0.118303,0.634654,0.0,0.0,8,1.0,600,1
130,2,0,0,1.0,fixed,0.5,18,8,0,18,2694,1.414215,0.227939,1.642154,0.118303,0.681784,0.0,0.0,8,1.0,600,1
131,1,0,0,1.0,fixed,0.5,19,8,0,19,2713,1.321405,0.385271,1.706676,0.118303,0.673755,0.0,0.0,8,1.0,600,1
132,1,0,0,1.0,fixed,0.5,15,8,0,15,2728,1.272892,0.396913,1.669805,0.118303,0.713077,0.0,0.0,8,1.0,600,1
133,2,0,0,1.0,fixed,0.5,20,6,0,20,2748,1.35223,0.397655,1.749885,0.118303,0.706427,0.0,0.0,8,1.0,600,1
134,1,0,0,1.0,fixed,0.5,11,4,0,11,2759,1.364886,0.389681,1.754567,0.118303,0.622705,0.0,0.0,8,1.0,600,1
135,1,0,0,1.0,fixed,0.5,15,8,0,15,2774,1.398696,0.392832,1.791528,0.118303,0.712298,0.0,0.0,8,1.0,600,1
136,2,0,0,1.0,fixed,0.5,26,8,0,26,2800,1.394913,0.352705,1.747617,0.118303,0.730898,0.0,0.0,8,1.0,600,1
137,1,0,0,1.0,fixed,0.5,17,7,0,17,2817,1.374818,0.301571,1.67639,0.118303,0.615732,0.0,0.0,8,1.0,600,1
138,2,0,0,1.0,fixed,0.5,18,8,0,18,2835,1.399115,0.353019,1.752134,0.118303,0.702467,0.0,0.0,8,1.0,600,1
139,1,0,0,1.0,fixed,0.5,19,6,0,19,2854,1.313678,0.375169,1.688848,0.118303,0.591688,0.0,0.0,8,1.0,600,1
140,1,0,0,1.0,fixed,0.5,13,5,0,13,2867,1.363594,0.400914,1.764508,0.118303,0.57917,0.0,0.0,8,1.0,600,1
141,1,0,0,1.0,fixed,0.5,17,8,0,17,2884,1.384249,0.23307,1.617319,0.118303,0.66886,0.0,0.0,8,1.0,600,1
142,2,1,1,0.3,fixed,0.5,70,8,0,70,2954,1.423751,0.432967,1.856719,0.118303,0.721894,0.0,0.0,8,1.0,600,1
143,2,0,0,1.0,fixed,0.5,26,8,0,26,2980,1.400722,0.343116,1.743837,0.118303,0.790677,0.0,0.0,8,1.0,600,1
